	ty_corr	ty_rank	tl_corr	tl_rank
Inoxy_incrdose	0.487187	2	0.202524	7
Intratocolytix	0.485221	3	0.146291	22
Admcontract	0.441718	4	0.198903	8
Education	0.422501	5	0.14819	21
HospElectCS	0.408591	6	0.116207	32
DMControl	0.403814	7	0.149369	20
HosEpiNurse	0.38671	8	0.151235	20
BESTGA	0.363076	9	0.180106	11
Hostype	0.352407	10	0.132908	26
AdmBishop	0.324557	11	0.12	30
GAmethod	0.310459	12	0.135101	25
Delfetalpos	0.292063	13	0.070036	60
Analgesia	0.285463	14	0.170384	13
AdmSBP	0.278867	15	0.168075	14
Augment	0.275928	16	0.110535	34
Admconsistency	0.274926	16	0.093512	44
Admcervpos	0.26664	18	0.090126	47
AdmDBP	0.262763	20	0.160039	16
Insurance	0.259188	20	0.202395	7
momrace_new	0.258066	21	0.093741	44
Admpresent	0.254211	21	0.179569	10
HospElectInd	0.242596	23	0.054947	71
HxnumCS	0.240315	23	0.241033	3
Episiotomy	0.219312	26	0.124701	29
Ind_Unkn	0.215453	26	0.118547	31
ROMmeth	0.20495	27	0.213418	4
MthInd_AROM	0.198505	28	0.072123	59
Admefface	0.181644	29	0.129889	27
Marital	0.163053	31	0.056583	69
Admreason	0.162245	31	0.085941	51
Dilat_lst	0.15223	32	0.20195	7
Ind_elect	0.149239	32	0.040464	97
Antesteroid	0.124195	34	0.085189	51
Anteanemia	0.116701	36	0.101103	39
Meconium	0.112638	37	0.054348	73
intra_abruptio	0.111999	37	0.102092	38
HosEpitype	0.110038	38	0.015897	142
MthInd_Oxy	0.108536	38	0.020678	133
Operative	0.103852	40	0.060199	66
IntraMgSO	0.097529	41	0.091849	46
high_height	0.093441	43	0.037615	103
pre_PROM	0.088878	45	0.034859	108
Anteabruption	0.088109	44	0.087778	50
FSE	0.086895	45	0.04547	87
intra_previa	0.084223	46	0.103374	37
ThreatenedPB	0.083684	46	0.043846	90
Parity	0.079543	48	0.042844	93
Anteprevia	0.077004	49	0.09469	43
Delmode	0.075155	50	0.362633	2
Presentdel	0.064746	55	0.10541	36
TrialLabor	0.051259	67	0.213426	5
vertex	0.048657	69	0.095754	43
Malpresentation9	0.045962	73	0.086257	50
Intrafetdistress	0.043655	76	0.091688	46
breech	0.043184	76	0.102097	37
Intrafever	0.038657	85	0.087031	50
spontlabor	0.037017	86	0.091826	45
prelaborCD	0.036112	89	0.166773	14
Hxcsection	0.035987	89	0.146115	22
Lac_None	0.030253	98	0.097058	42
CS_UScar	0.028242	102	0.150693	21
uscar	0.027728	104	0.152719	19
CS_FTP	0.001874	165	0.15475	18
Lac_Min	0.00183	166	0.166042	15
Hxanemia	0.001116	169	0.122506	30
CS_NRFHT	0.000303	170	0.119482	31
