	ty_corr	ty_rank	tl_corr	tl_rank
Education	0.424993	2	0.151225	7
HospElectCS	0.406944	3	0.116195	12
DMControl	0.404231	4	0.149773	7
Hostype	0.349658	5	0.133381	10
momrace_new	0.260521	6	0.094804	15
Insurance	0.256702	7	0.202664	3
HospElectInd	0.244744	8	0.055341	29
HxnumCS	0.24034	9	0.243353	2
Admreason	0.167892	10	0.088533	17
Marital	0.160529	11	0.057855	28
Ind_elect	0.150141	12	0.040102	47
Antesteroid	0.122979	13	0.088287	17
Anteanemia	0.114639	14	0.100519	13
high_height	0.094902	15	0.03592	52
Anteabruption	0.087984	17	0.089667	17
pre_PROM	0.085832	17	0.036625	52
ThreatenedPB	0.084907	17	0.046609	39
Anteprevia	0.079799	19	0.094418	15
Parity	0.074571	20	0.041132	47
Antethyroid	0.066663	23	0.038853	50
GestHBP	0.063717	24	0.04229	44
Antehospital	0.061159	25	0.042543	44
Preeclampsia	0.060273	26	0.066603	23
Ind_HTN	0.060208	25	0.051193	32
Anteasthma	0.059309	26	0.042159	43
Antebleed3	0.059308	26	0.054453	29
high_BMI	0.059025	26	0.070265	21
PostHBP	0.056127	28	0.063578	24
high_Age	0.05302	30	0.05228	32
CS_Elect	0.052744	31	0.07669	20
Antefetdistress	0.049344	32	0.080423	19
MthInd_PGE2	0.045169	35	0.036093	52
Alcohol	0.042458	37	0.028357	61
gest_diab	0.042229	38	0.031778	57
AnteSGA	0.040532	39	0.02342	67
high_Gravidity	0.039456	42	0.04636	37
Hxdepression	0.039059	42	0.054182	29
prelaborCD	0.038424	41	0.171062	4
AnteLGA	0.038015	42	0.043491	43
Hyp_beta	0.03773	42	0.040674	46
CS_Fetmac	0.036763	44	0.053353	30
Hxthyroid	0.036663	45	0.022499	68
TD_nos	0.036465	44	0.015037	78
no_TD	0.035847	44	0.026265	63
MthInd_Mec	0.033629	48	0.006018	94
Hxpreterm	0.032878	49	0.045489	38
CS_HTNdis	0.032484	48	0.04601	38
Rhincompat	0.032174	50	0.022764	68
Hxseizure	0.032056	50	0.031967	58
depression_comb	0.030866	52	0.050839	33
UnspecHBP	0.030844	52	0.039286	48
Hxcsection	0.030813	50	0.148517	9
CS_UScar	0.027961	55	0.155291	6
Antefetaldth	0.027293	55	0.013093	82
Antethrombo	0.026238	56	0.016187	76
ECV	0.026153	58	0.021885	68
iufd9	0.02602	58	0.010137	87
MthInd_Miso	0.025419	59	0.017674	74
uscar	0.024277	61	0.15498	6
Hxmacrosomia	0.023907	61	0.039557	48
ChronicHBP	0.023582	61	0.0371	52
AnteSTD	0.023546	61	0.013033	82
Hxasthma	0.022357	63	0.042144	43
HxGIdis	0.019913	66	0.001867	103
Smoke	0.018962	67	0.001944	103
GI_disease_comb	0.017057	72	0.001521	104
gest_htn	0.017003	71	0.015291	78
CPD	0.015768	73	0.000121	107
Polyhydramnios	0.015184	74	0.03452	55
ART	0.014595	73	0.001214	105
Activeherpes	0.0135	75	0.002868	100
renal_disease9	0.013184	77	0.008047	89
Ind_Mcond	0.011437	80	0.0	108
prim_hypo	0.011137	81	0.013106	81
Oligo	0.010816	82	0.024472	67
Ind_Postdate	0.010719	82	0.000174	107
Ind_FComp	0.010568	80	0.000184	107
Ind_Still	0.00934	83	0.00163	103
pre_diab	0.007663	87	0.062744	25
Heart_disease_comb	0.007434	88	0.019891	71
iatro_hypo	0.007081	87	0.015059	78
HIV	0.006203	89	0.001483	104
AnteGDM	0.006087	89	0.03021	59
Druguse	0.006003	90	0.021129	69
AnteGBS	0.005965	90	0.000757	105
Ind_HxMat	0.005406	92	0.000883	104
AnteCHBP	0.005172	91	0.042833	42
Ind_Fmacro	0.004887	92	0.016956	75
CS_HIV	0.004398	93	0.022135	68
threatpb9	0.003531	93	0.008254	88
Eclampsia	0.003471	94	0.009135	88
hypertyro	0.003329	94	0.003198	99
Incompetence	0.003036	96	0.015031	78
Hxrenaldis	0.002828	98	0.00232	103
Ind_Vbleed	0.002784	96	0.007667	91
Diabetes	0.002777	97	0.063369	24
HxSTD	0.002591	97	0.008905	89
CS_Mult	0.002508	97	0.041853	45
Ind_Hxfetal	0.002448	97	0.0	108
Hxstillbirth	0.00216	97	0.006991	91
Hxanemia	0.001981	99	0.123824	11
renal_disease_comb	0.001745	99	0.00349	100
Hyp_meth	0.001735	98	0.004104	96
other_TD	0.001499	99	0.002025	103
Ind_anomaly	0.001434	100	0.000258	107
Antechorio	0.001412	101	0.034102	55
Hxheartdis	0.001082	99	0.001864	102
version9	0.000739	101	0.008216	90
ImposedPE	0.000606	102	0.028827	61
Cerclage	0.000595	102	0.012104	82
gi_disease9	0.000474	102	0.002586	101
AnteUTI	0.0	103	0.00722	91
Hyp_ace	0.0	103	0.0	108
Ind_Chorio	0.0	103	0.001627	105
CS_Fetanom	0.0	103	0.048008	35
CS_HxShoulder	0.0	103	0.007523	90
Hyp_alpha	0.0	103	0.0	108
