	ty_corr	ty_rank	tl_corr	tl_rank
Education	0.424993	2	0.151225	7
HospElectCS	0.406944	3	0.116195	12
DMControl	0.404231	4	0.149773	7
Hostype	0.349658	5	0.133381	10
momrace_new	0.260521	6	0.094804	15
Insurance	0.256702	7	0.202664	3
HospElectInd	0.244744	8	0.055341	29
HxnumCS	0.24034	9	0.243353	2
Admreason	0.167892	10	0.088533	17
Marital	0.160529	11	0.057855	28
Ind_elect	0.150141	12	0.040102	47
Antesteroid	0.122979	13	0.088287	17
Anteanemia	0.114639	14	0.100519	13
high_height	0.094902	15	0.03592	52
Anteabruption	0.087984	17	0.089667	17
pre_PROM	0.085832	17	0.036625	52
ThreatenedPB	0.084907	17	0.046609	39
Anteprevia	0.079799	19	0.094418	15
Parity	0.074571	20	0.041132	47
Antethyroid	0.066663	23	0.038853	50
GestHBP	0.063717	24	0.04229	44
Antehospital	0.061159	25	0.042543	44
Preeclampsia	0.060273	26	0.066603	23
Ind_HTN	0.060208	25	0.051193	32
Anteasthma	0.059309	26	0.042159	43
Antebleed3	0.059308	26	0.054453	29
high_BMI	0.059025	26	0.070265	21
PostHBP	0.056127	28	0.063578	24
high_Age	0.05302	30	0.05228	32
CS_Elect	0.052744	31	0.07669	20
Antefetdistress	0.049344	32	0.080423	19
MthInd_PGE2	0.045169	35	0.036093	52
Alcohol	0.042458	37	0.028357	61
gest_diab	0.042229	38	0.031778	57
AnteSGA	0.040532	39	0.02342	67
high_Gravidity	0.039456	42	0.04636	37
Hxdepression	0.039059	42	0.054182	29
prelaborCD	0.038424	41	0.171062	4
AnteLGA	0.038015	42	0.043491	43
Hyp_beta	0.03773	42	0.040674	46
CS_Fetmac	0.036763	44	0.053353	30
Hxthyroid	0.036663	45	0.022499	68
TD_nos	0.036465	44	0.015037	78
no_TD	0.035847	44	0.026265	63
MthInd_Mec	0.033629	48	0.006018	94
Hxpreterm	0.032878	49	0.045489	38
CS_HTNdis	0.032484	48	0.04601	38
Rhincompat	0.032174	50	0.022764	68
Hxseizure	0.032056	50	0.031967	58
depression_comb	0.030866	52	0.050839	33
UnspecHBP	0.030844	52	0.039286	48
Hxcsection	0.030813	50	0.148517	9
CS_UScar	0.027961	55	0.155291	6
uscar	0.024277	61	0.15498	6
Hxmacrosomia	0.023907	61	0.039557	48
Hxasthma	0.022357	63	0.042144	43
pre_diab	0.007663	87	0.062744	25
AnteCHBP	0.005172	91	0.042833	42
Diabetes	0.002777	97	0.063369	24
CS_Mult	0.002508	97	0.041853	45
Hxanemia	0.001981	99	0.123824	11
CS_Fetanom	0.0	103	0.048008	35
