,RAND_corr,RAND_rank,NONE_corr,NONE_rank
transfus_yes,0.999807,1,0.999901,1
Inoxy_incrdose,0.487187,2,0.163665,3
Intratocolytix,0.485221,3,0.169665,2
Admcontract,0.441718,4,0.163442,4
Education,0.422501,5,0.157626,5
HospElectCS,0.408591,6,0.137955,7
DMControl,0.403814,7,0.128169,9
HosEpiNurse,0.38671,8,0.108276,11
BESTGA,0.363076,9,0.144632,6
Hostype,0.352407,10,0.136822,8
AdmBishop,0.324557,11,0.127587,10
GAmethod,0.310459,12,0.089758,16
Delfetalpos,0.292063,13,0.092666,14
Analgesia,0.285463,14,0.096594,13
AdmSBP,0.278867,15,0.080427,21
Augment,0.275928,16,0.106582,12
Admconsistency,0.274926,16,0.09171,15
Admcervpos,0.26664,18,0.089333,17
AdmDBP,0.262763,20,0.078695,23
Insurance,0.259188,20,0.067622,24
momrace_new,0.258066,21,0.082034,20
Admpresent,0.254211,21,0.082568,18
HospElectInd,0.242596,23,0.067034,25
HxnumCS,0.240315,23,0.064927,26
Episiotomy,0.219312,26,0.08007,22
Ind_Unkn,0.215453,26,0.055848,30
ROMmeth,0.20495,27,0.053182,31
MthInd_AROM,0.198505,28,0.082365,19
Admefface,0.181644,29,0.060614,27
Marital,0.163053,31,0.051556,34
Admreason,0.162245,31,0.051562,33
Dilat_lst,0.15223,32,0.049439,36
Ind_elect,0.149239,32,0.060577,28
Antesteroid,0.124195,34,0.057704,29
Anteanemia,0.116701,36,0.047589,37
Meconium,0.112638,37,0.037192,44
intra_abruptio,0.111999,37,0.05302,32
HosEpitype,0.110038,38,0.03514,46
MthInd_Oxy,0.108536,38,0.038808,43
Operative,0.103852,40,0.045141,39
IntraMgSO,0.097529,41,0.04,42
high_height,0.093441,43,0.032434,47
pre_PROM,0.088878,45,0.025414,53
Anteabruption,0.088109,44,0.043831,40
FSE,0.086895,45,0.03157,48
intra_previa,0.084223,46,0.045628,38
ThreatenedPB,0.083684,46,0.035636,45
Parity,0.079543,48,0.027812,50
Anteprevia,0.077004,49,0.042038,41
Delmode,0.075155,50,0.026588,51
Antethyroid,0.068301,53,0.028396,49
Induction,0.067645,53,0.018222,64
Antehospital,0.065639,54,0.018973,63
Presentdel,0.064746,55,0.021358,60
Anteasthma,0.062642,57,0.023825,56
GestHBP,0.062239,57,0.025498,52
ROM,0.061839,57,0.017326,65
Ind_HTN,0.059055,60,0.023075,58
Preeclampsia,0.058977,60,0.023193,57
