,Cramer_corr,Cramer_rank,Theil_corr,Theil_rank
transfus_yes,0.999807,1,1.0,1
Inoxy_incrdose,0.491335,2,0.187339,2
Intratocolytix,0.485108,3,0.178998,3
Admcontract,0.44076499999999996,4,0.15262699999999998,4
Education,0.42665299999999995,5,0.134966,5
HospElectCS,0.41083500000000006,6,0.12483399999999999,7
DMControl,0.404165,7,0.121322,8
HosEpiNurse,0.385704,8,0.119295,8
BESTGA,0.36601999999999996,9,0.125495,7
Hostype,0.349908,10,0.094012,10
AdmBishop,0.325784,11,0.080924,11
Delfetalpos,0.287677,12,0.0627,13
AdmSBP,0.28044600000000003,13,0.070616,12
Augment,0.274864,14,0.056555999999999995,16
Admconsistency,0.27231,15,0.056673,16
Admcervpos,0.264232,17,0.053626,19
AdmDBP,0.26263600000000004,17,0.05952,15
Admpresent,0.25758400000000004,18,0.047447,22
Insurance,0.256826,19,0.058136,15
momrace_new,0.25406799999999996,19,0.049996,20
HospElectInd,0.246302,21,0.049421,20
HxnumCS,0.24299400000000002,22,0.05115,20
Dilat_lst,0.23954499999999998,22,0.048027,22
Episiotomy,0.22295700000000002,24,0.03903,24
Ind_Unkn,0.211837,26,0.035757,26
ROMmeth,0.20912600000000003,26,0.037926,25
MthInd_AROM,0.200772,27,0.030312000000000002,27
Admefface,0.183418,28,0.027619,28
Admreason,0.168533,29,0.021287999999999998,30
Marital,0.162194,30,0.020980000000000002,30
Ind_elect,0.148832,31,0.016874,31
Antesteroid,0.12441500000000001,33,0.011992000000000001,33
ga,0.122949,33,0.012126000000000001,33
abruption,0.11552799999999999,35,0.010254000000000001,35
Meconium,0.11429,36,0.009772,36
Anteanemia,0.1133,36,0.009353,37
HosEpitype,0.11048,37,0.008472,39
MthInd_Oxy,0.110421,37,0.009370999999999999,37
Intraabrupt,0.105929,38,0.009111,38
Operative,0.100766,40,0.00824,39
IntraMgSO,0.09435,42,0.007201999999999999,41
high_height,0.094334,42,0.006495,44
Anteabruption,0.088068,43,0.005724,47
ThreatenedPB,0.086492,45,0.005761,46
abruptio9,0.084977,45,0.0056630000000000005,47
previa9,0.081014,47,0.00592,46
previa_chart,0.077613,49,0.005362,48
Anteprevia,0.077238,50,0.0052770000000000004,49
Delmode,0.07707699999999999,50,0.004497,52
Hysterectomy,0.076977,49,0.005987,45
MomICU,0.07657699999999999,50,0.0052710000000000005,48
Parity,0.07606399999999999,51,0.004772,50
AB_ceph,0.07399,52,0.004579,52
PROM_new,0.07081699999999999,55,0.0038179999999999998,58
Induction,0.068191,56,0.0039,58
Antethyroid,0.067442,58,0.003401,62
GestHBP,0.06445,60,0.0032340000000000003,63
Woundinf,0.064188,62,0.003406,62
AB_peni,0.06415900000000001,61,0.002773,68
