,trans_loss,,,transfus_yes,,,Sitenum
trans_loss,0.999949,,transfus_yes,0.999901,,Sitenum,1
transfus_yes,0.696676,,trans_loss,0.696676,,HosEpiNurse,0.999973
Delmode,0.181382,,Sitenum,0.218886,,Inoxy_incrdose,0.966083
Sitenum,0.142954,,Intratocolytix,0.169665,,HospElectCS,0.960449
TrialLabor,0.116565,,Inoxy_incrdose,0.163665,,HospElectInd,0.957386
HxnumCS,0.115416,,Admcontract,0.163442,,HosEpitype,0.808793
BESTGA,0.09955,,Education,0.157626,,Hostype,0.763167
Admcontract,0.095591,,BESTGA,0.144632,,GAmethod,0.705229
prelaborCD,0.092073,,HospElectCS,0.137955,,Education,0.549414
Analgesia,0.091186,,Hostype,0.136822,,Analgesia,0.523059
Dilat_lst,0.089133,,DMControl,0.128169,,Intratocolytix,0.508861
CS_FTP,0.086387,,AdmBishop,0.127587,,ROMmeth,0.488062
Admpresent,0.085592,,HosEpiNurse,0.108276,,Admconsistency,0.470179
Inoxy_incrdose,0.085416,,Augment,0.106582,,Admcontract,0.465248
CS_UScar,0.083933,,Analgesia,0.096594,,Admcervpos,0.464028
uscar,0.080637,,Delfetalpos,0.092666,,Lac_None,0.45969
ROMmeth,0.080342,,Admconsistency,0.09171,,DMControl,0.451261
AdmSBP,0.077786,,GAmethod,0.089758,,Insurance,0.422485
intra_previa,0.07751,,Admcervpos,0.089333,,vertex,0.421337
Hxcsection,0.077223,,Admpresent,0.082568,,MthInd_AROM,0.416437
Insurance,0.074488,,MthInd_AROM,0.082365,,BESTGA,0.406816
AdmDBP,0.074169,,momrace_new,0.082034,,Admreason,0.40168
Education,0.074154,,AdmSBP,0.080427,,Antehospital,0.398479
Anteprevia,0.072204,,Episiotomy,0.08007,,Ind_Unkn,0.392232
Lac_Min,0.071589,,AdmDBP,0.078695,,MthInd_Oxy,0.37728
DMControl,0.070662,,Insurance,0.067622,,Hxanemia,0.366403
Intratocolytix,0.068709,,HospElectInd,0.067034,,Delfetalpos,0.322385
HosEpiNurse,0.066876,,HxnumCS,0.064927,,Augment,0.309944
Hxanemia,0.066856,,new_BMI,0.062558,,Marital,0.300794
CS_NRFHT,0.066738,,Admefface,0.060614,,Ind_elect,0.300316
Hostype,0.066078,,Ind_elect,0.060577,,HxSTD,0.29628
intra_abruptio,0.065817,,Antesteroid,0.057704,,momrace_new,0.294104
Presentdel,0.065764,,Ind_Unkn,0.055848,,AnteSTD,0.287002
AdmBishop,0.060198,,ROMmeth,0.053182,,Lac_Min,0.280904
GAmethod,0.059564,,intra_abruptio,0.05302,,HxnumCS,0.276292
Accrete,0.059493,,Admreason,0.051562,,Induction,0.273343
Anteabruption,0.059348,,Marital,0.051556,,Episiotomy,0.269203
breech,0.057859,,Accrete,0.04978,,AdmSBP,0.267875
Admefface,0.05624,,Dilat_lst,0.049439,,IUPC,0.263558
new_BMI,0.055641,,Anteanemia,0.047589,,spontlabor,0.258312
Augment,0.055435,,intra_previa,0.045628,,CS_Elect,0.250933
Anteanemia,0.055141,,Operative,0.045141,,FSE,0.250628
vertex,0.05388,,Anteabruption,0.043831,,AdmDBP,0.24934
HospElectCS,0.053015,,Anteprevia,0.042038,,Anteanemia,0.237819
IntraMgSO,0.05133,,IntraMgSO,0.04,,CS_Other,0.231097
Antesteroid,0.050139,,MthInd_Oxy,0.038808,,MthInd_Mec,0.229398
Ind_Unkn,0.049376,,Meconium,0.037192,,Antefetdistress,0.225252
Intrafetdistress,0.048697,,ThreatenedPB,0.035636,,Smoke,0.224637
