	t_yes-corr	t_yes-rank	t_loss-corr	t_loss-rank
Inoxy_incrdose	0.4913	2	0.2027	8
Intratocolytix	0.4851	3	0.1458	23
Admcontract	0.4408	4	0.1983	9
Education	0.4267	5	0.1507	20
HospElectCS	0.4108	6	0.1156	31
DMControl	0.4042	7	0.1497	21
HosEpiNurse	0.3857	8	0.1528	20
BESTGA	0.3660	9	0.1784	12
Hostype	0.3499	10	0.1292	26
AdmBishop	0.3258	11	0.1183	30
Delfetalpos	0.2877	12	0.0703	67
AdmSBP	0.2804	13	0.1653	14
Augment	0.2749	14	0.1112	33
Admconsistency	0.2723	15	0.0896	50
Admcervpos	0.2642	17	0.0854	54
AdmDBP	0.2626	17	0.1570	18
Admpresent	0.2576	18	0.1792	12
Insurance	0.2568	19	0.1969	10
momrace_new	0.2541	19	0.0920	48
HospElectInd	0.2463	21	0.0585	79
HxnumCS	0.2430	22	0.2406	4
Dilat_lst	0.2395	22	0.2256	5
Episiotomy	0.2230	24	0.1251	28
Ind_Unkn	0.2118	26	0.1228	29
ROMmeth	0.2091	26	0.2132	7
MthInd_AROM	0.2008	27	0.0759	62
Admefface	0.1834	28	0.1336	26
Admreason	0.1685	29	0.0878	52
Marital	0.1622	30	0.0547	84
Ind_elect	0.1488	31	0.0426	105
Antesteroid	0.1244	33	0.0865	53
ga	0.1229	33	0.0997	41
abruption	0.1155	35	0.1025	38
Meconium	0.1143	36	0.0533	85
Anteanemia	0.1133	36	0.0996	40
HosEpitype	0.1105	37	0.0183	161
MthInd_Oxy	0.1104	37	0.0212	153
Intraabrupt	0.1059	38	0.0826	58
Operative	0.1008	40	0.0608	75
IntraMgSO	0.0944	42	0.0919	48
high_height	0.0943	42	0.0354	122
Anteabruption	0.0881	43	0.0862	53
ThreatenedPB	0.0865	45	0.0453	99
abruptio9	0.0850	45	0.0865	54
previa9	0.0810	47	0.1014	39
previa_chart	0.0776	49	0.0968	43
Anteprevia	0.0772	50	0.0943	46
Delmode	0.0771	50	0.3639	2
Hysterectomy	0.0770	49	0.0657	69
MomICU	0.0766	50	0.0481	94
Presentdel	0.0634	62	0.1054	36
Postfever	0.0634	61	0.1106	34
CS_Pprevia	0.0630	62	0.0919	48
TrialLabor	0.0499	80	0.2159	6
Lac_Unkn	0.0495	78	0.1016	39
delivery	0.0454	86	0.3600	3
vertex	0.0436	89	0.0962	44
Hxcsection	0.0407	92	0.1470	22
Intrafetdistress	0.0404	95	0.0900	50
prelaborCD	0.0385	100	0.1680	14
breech	0.0382	98	0.1020	38
spontlabor	0.0363	105	0.0903	50
CS_UScar	0.0325	112	0.1530	19
uscar	0.0322	112	0.1541	19
Lac_None	0.0310	117	0.0962	44
Hxanemia	0.0037	193	0.1217	29
CS_FTP	0.0036	191	0.1537	19
Lac_Min	0.0012	200	0.1696	13
CS_NRFHT	0.0011	202	0.1173	30
