,CLF_time(min),target,under_alg,pred_alg,seed,TN,FP,FN,TP,precision_2,recall_2,F1_2,precision_macro,recall_macro,F1_macro,ROC_AUC,PR_AUC,MCC,Combo
0,0.001,transfus_yes,random,NB,0,53047,1026,38,1513,0.596,0.975,0.740,0.798,0.978,0.865,0.978,0.817,0.755,0.849
,CLF_time(min),target,under_alg,pred_alg,seed,p_solver,p_max_iter,p_C,p_penalty,TN,FP,FN,TP,precision_2,recall_2,F1_2,precision_macro,recall_macro,F1_macro,ROC_AUC,PR_AUC,MCC,Combo
56,0.022,transfus_yes,random,LR,7,liblinear,1000,1000,l1,52856,1217,1,1550,0.560,0.999,0.718,0.780,0.988,0.853,0.988,0.707,0.740,0.814
53,0.007,transfus_yes,random,LR,7,liblinear,10000,100,l1,52853,1220,1,1550,0.560,0.999,0.717,0.780,0.988,0.853,0.988,0.711,0.739,0.814
41,0.007,transfus_yes,random,LR,7,liblinear,1000,10,l1,52853,1220,1,1550,0.560,0.999,0.717,0.780,0.988,0.853,0.988,0.711,0.739,0.814
42,0.011,transfus_yes,random,LR,7,liblinear,1000,100,l1,52853,1220,1,1550,0.560,0.999,0.717,0.780,0.988,0.853,0.988,0.711,0.739,0.814
43,0.022,transfus_yes,random,LR,7,liblinear,1000,1000,l1,52856,1217,1,1550,0.560,0.999,0.718,0.780,0.988,0.853,0.988,0.707,0.740,0.814
,CLF_time(min),target,under_alg,pred_alg,seed,p_n_estimators,p_criterion,p_max_depth,p_min_samples_split,p_min_samples_leaf,p_max_features,TN,FP,FN,TP,precision_2,recall_2,F1_2,precision_macro,recall_macro,F1_macro,ROC_AUC,PR_AUC,MCC,Combo
62,0.284,transfus_yes,random,RF,1,1800,gini,30,2,8,auto,52999,1074,2,1549,0.591,0.999,0.742,0.795,0.989,0.866,0.989,0.776,0.760,0.837
61,0.246,transfus_yes,random,RF,1,1500,gini,20,2,8,auto,52999,1074,2,1549,0.591,0.999,0.742,0.795,0.989,0.866,0.989,0.776,0.760,0.837
43,0.274,transfus_yes,random,RF,1,1500,entropy,50,2,1,sqrt,52983,1090,2,1549,0.587,0.999,0.739,0.793,0.989,0.865,0.989,0.776,0.758,0.836
30,0.305,transfus_yes,random,RF,1,1800,gini,70,2,1,auto,52984,1089,2,1549,0.587,0.999,0.740,0.794,0.989,0.865,0.989,0.775,0.758,0.836
32,0.294,transfus_yes,random,RF,1,1800,gini,120,2,1,auto,52984,1089,2,1549,0.587,0.999,0.740,0.794,0.989,0.865,0.989,0.775,0.758,0.836
,CLF_time(min),target,under_alg,pred_alg,seed,p_C,p_kernel,p_degree,p_gamma,p_max_iter,p_probability,TN,FP,FN,TP,precision_2,recall_2,F1_2,precision_macro,recall_macro,F1_macro,ROC_AUC,PR_AUC,MCC,Combo
2,1.679,transfus_yes,random,SVC,1,1000,poly,3,scale,1000000.0,1,53382,691,109,1442,0.676,0.930,0.783,0.837,0.958,0.888,0.958,0.675,0.786,0.867
3,1.498,transfus_yes,random,SVC,1,10000,poly,3,scale,1000000.0,1,53269,804,70,1481,0.648,0.955,0.772,0.823,0.970,0.882,0.970,0.667,0.780,0.864
37,5.827,transfus_yes,random,SVC,7,1000,poly,3,scale,-1,1,53301,772,97,1454,0.653,0.937,0.770,0.826,0.962,0.881,0.962,0.672,0.775,0.861
30,2.145,transfus_yes,random,SVC,7,1000,poly,2,scale,-1,1,53247,826,70,1481,0.642,0.955,0.768,0.820,0.970,0.880,0.970,0.700,0.776,0.861
21,1.956,transfus_yes,random,SVC,1,1000,poly,5,scale,1000000.0,1,53344,729,116,1435,0.663,0.925,0.773,0.830,0.956,0.882,0.956,0.139,0.776,0.861
,CLF_time(min),target,under_alg,pred_alg,seed,p_C,p_loss,p_penalty,p_max_iter,TN,FP,FN,TP,precision_2,recall_2,F1_2,precision_macro,recall_macro,F1_macro,ROC_AUC,PR_AUC,MCC,Combo
15,1343.931,transfus_yes,random,LSVC,1,100,squared_hinge,l2,100000000.0,52961,1112,0,1551,0.582,1.000,0.736,0.791,0.990,0.863,0.990,0.694,0.755,0.850
14,171.159,transfus_yes,random,LSVC,1,10,squared_hinge,l2,10000000.0,52954,1119,0,1551,0.581,1.000,0.735,0.790,0.990,0.862,0.990,0.691,0.754,0.849
0,0.081,transfus_yes,random,LSVC,1,0.001,squared_hinge,l2,1000,52976,1097,18,1533,0.583,0.988,0.733,0.791,0.984,0.861,0.984,0.686,0.751,0.847
27,4.265,transfus_yes,random,LSVC,1,100,hinge,l2,100000,52933,1140,0,1551,0.576,1.000,0.731,0.788,0.989,0.860,0.989,0.703,0.751,0.847
26,22.661,transfus_yes,random,LSVC,1,10,hinge,l2,1000000,52929,1144,0,1551,0.576,1.000,0.731,0.788,0.989,0.860,0.989,0.509,0.751,0.847
